Date,ID_Company,Session,Open,High,Low,Close,Adj Close,Volume,Percentage Change,Volatility,Trading Value,MA_7,MA_14,MA_21,MA_30,MA_60,MA_100,MA_200,MACD,Signal Line,MACD Histogram,RSI,Middle Band,Upper Band,Lower Band,%K,%D,OBV
2019-01-02,AMZN,1d,73.26000213623047,77.66799926757812,73.04650115966797,76.95649719238281,76.95649719238281,159662000,-0.025241497784936007,0.060053384399200466,12287028254.730225,80.11807141985211,81.62224960327148,82.00161888485863,81.78481648763021,83.12005818684896,87.29724494934082,89.59786739349366,0.0,0.0,0.0,62.139240309762684,81.80487480163575,86.85667456640512,76.75307503686638,67.08190445904418,67.11639338552332,0
2019-01-03,AMZN,1d,76.00050354003906,76.9000015258789,74.85549926757812,75.01399993896484,75.01399993896484,139512000,-0.025241497784936007,0.02725494254358241,10465353159.484863,80.11807141985211,81.62224960327148,82.00161888485863,81.78481648763021,83.12005818684896,87.29724494934082,89.59786739349366,-0.15495704585670467,-0.030991409171340936,-0.12396563668536373,62.139240309762684,81.80487480163575,86.85667456640512,76.75307503686638,67.08190445904418,67.11639338552332,-139512000
2019-01-04,AMZN,1d,76.5,79.69999694824219,75.91549682617188,78.76950073242188,78.76950073242188,183652000,0.05006399867375011,0.04804524704207749,14466176348.510742,80.11807141985211,81.62224960327148,82.00161888485863,81.78481648763021,83.12005818684896,87.29724494934082,89.59786739349366,0.024987862375851932,-0.019795554861902362,0.044783417237754294,62.139240309762684,81.80487480163575,86.85667456640512,76.75307503686638,67.08190445904418,67.11639338552332,44140000
2019-01-07,AMZN,1d,80.1155014038086,81.72799682617188,79.45950317382812,81.47550201416016,81.47550201416016,159864000,0.03435341415874271,0.02784264713029315,13024999653.9917,80.11807141985211,81.62224960327148,82.00161888485863,81.78481648763021,83.12005818684896,87.29724494934082,89.59786739349366,0.3815489284816067,0.06047334180679946,0.32107558667480723,62.139240309762684,81.80487480163575,86.85667456640512,76.75307503686638,67.08190445904418,67.11639338552332,204004000
2019-01-08,AMZN,1d,83.2344970703125,83.83049774169922,80.83049774169922,82.8290023803711,82.8290023803711,177628000,0.01661235994563981,0.03621919754898489,14712750034.820557,80.11807141985211,81.62224960327148,82.00161888485863,81.78481648763021,83.12005818684896,87.29724494934082,89.59786739349366,0.7645292923535862,0.2012845319161568,0.5632447604374294,62.139240309762684,81.80487480163575,86.85667456640512,76.75307503686638,67.08190445904418,67.11639338552332,381632000
2019-01-09,AMZN,1d,82.64900207519531,83.38999938964844,82.06999969482422,82.97100067138672,82.97100067138672,126976000,0.0017143547179709895,0.015909169277735762,10535325781.25,80.11807141985211,81.62224960327148,82.00161888485863,81.78481648763021,83.12005818684896,87.29724494934082,89.59786739349366,1.0672000474641834,0.3744676350257622,0.6927324124384212,62.139240309762684,81.80487480163575,86.85667456640512,76.75307503686638,67.08190445904418,67.11639338552332,508608000
2019-01-10,AMZN,1d,82.05049896240234,83.1624984741211,81.08100128173828,82.81099700927734,82.81099700927734,130154000,-0.0019284287379283116,0.02513551662890403,10778182504.745483,80.11807141985211,81.62224960327148,82.00161888485863,81.78481648763021,83.12005818684896,87.29724494934082,89.59786739349366,1.2794096056593105,0.5554560291524718,0.7239535765068387,62.139240309762684,81.80487480163575,86.85667456640512,76.75307503686638,67.08190445904418,67.11639338552332,378454000
2019-01-11,AMZN,1d,82.02749633789062,83.0145034790039,81.81099700927734,82.02799987792969,82.02799987792969,93724000,-0.009455231305329326,0.014671898272755226,7687992260.559082,80.84257180350167,81.62224960327148,82.00161888485863,81.78481648763021,83.12005818684896,87.29724494934082,89.59786739349366,1.3686291794578693,0.7180906592135514,0.6505385202443179,62.139240309762684,81.80487480163575,86.85667456640512,76.75307503686638,67.08190445904418,67.11639338552332,284730000
2019-01-14,AMZN,1d,80.75,82.41000366210938,79.75749969482422,80.8604965209961,80.8604965209961,120118000,-0.014232985793521946,0.032803458813741165,9712801121.109009,81.67778560093471,81.62224960327148,82.00161888485863,81.78481648763021,83.12005818684896,87.29724494934082,89.59786739349366,1.3297994702915616,0.8404324214291535,0.4893670488624081,62.139240309762684,81.80487480163575,86.85667456640512,76.75307503686638,67.08190445904418,67.11639338552332,164612000
2019-01-15,AMZN,1d,81.5999984741211,83.75800323486328,81.30049896240234,83.72799682617188,83.72799682617188,119970000,0.035462313843586335,0.029351045834322,10044847779.23584,82.38614218575614,81.62224960327148,82.00161888485863,81.78481648763021,83.12005818684896,87.29724494934082,89.59786739349366,1.5129693866534666,0.9749398144740162,0.5380295721794504,62.139240309762684,81.80487480163575,86.85667456640512,76.75307503686638,67.08190445904418,67.11639338552332,284582000
